ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,latitude,longitude,timezone
12478,"New York, NY",NY,40.71427,-74.00597,America/New_York
12892,"Los Angeles, CA",CA,34.05223,-118.24368,America/Los_Angeles
13485,"Madison, WI",WI,43.07305,-89.40123,America/Chicago
14100,"Philadelphia, PA",PA,39.95238,-75.16362,America/New_York
13930,"Chicago, IL",IL,41.85003,-87.65005,America/Chicago
11109,"Colorado Springs, CO",CO,38.83388,-104.82136,America/Denver
11298,"Dallas/Fort Worth, TX",TX,32.89595,-97.0372,America/Chicago
11057,"Charlotte, NC",NC,35.22709,-80.84313,America/New_York
12953,"New York, NY",NY,40.71427,-74.00597,America/New_York
11503,"Eagle, CO",CO,39.65526,-106.82865,America/Denver
13303,"Miami, FL",FL,25.77427,-80.19366,America/New_York
14107,"Phoenix, AZ",AZ,33.44838,-112.07404,America/Phoenix
12173,"Honolulu, HI",HI,21.30694,-157.85834,Pacific/Honolulu
11433,"Detroit, MI",MI,42.33143,-83.04575,America/Detroit
15376,"Tucson, AZ",AZ,32.22174,-110.92648,America/Phoenix
10279,"Amarillo, TX",TX,35.222,-101.8313,America/Chicago
11618,"Newark, NJ",NJ,40.73566,-74.17237,America/New_York
14524,"Richmond, VA",VA,37.55376,-77.46026,America/New_York
12896,"Lubbock, TX",TX,33.57786,-101.85517,America/Chicago
13871,"Omaha, NE",NE,41.25626,-95.94043,America/Chicago
10397,"Atlanta, GA",GA,33.749,-84.38798,America/New_York
10721,"Boston, MA",MA,42.35843,-71.05977,America/New_York
14576,"Rochester, NY",NY,43.15478,-77.61556,America/New_York
10423,"Austin, TX",TX,30.26715,-97.74306,America/Chicago
12451,"Jacksonville, FL",FL,30.33218,-81.65565,America/New_York
10693,"Nashville, TN",TN,36.16589,-86.78444,America/Chicago
11292,"Denver, CO",CO,39.73915,-104.9847,America/Denver
13851,"Oklahoma City, OK",OK,35.46756,-97.51643,America/Chicago
10561,"Bakersfield, CA",CA,35.37329,-119.01871,America/Los_Angeles
11278,"Washington, DC",VA,38.71345,-78.15944,America/New_York
11540,"El Paso, TX",TX,31.75872,-106.48693,America/Denver
14635,"Fort Myers, FL",FL,26.62168,-81.84059,America/New_York
10713,"Boise, ID",ID,43.6135,-116.20345,America/Boise
14771,"San Francisco, CA",CA,37.77493,-122.41942,America/Los_Angeles
13830,"Kahului, HI",HI,20.88933,-156.47293,Pacific/Honolulu
13198,"Kansas City, MO",MO,39.09973,-94.57857,America/Chicago
11042,"Cleveland, OH",OH,41.4995,-81.69541,America/New_York
13204,"Orlando, FL",FL,28.53834,-81.37924,America/New_York
13495,"New Orleans, LA",LA,29.95465,-90.07507,America/Chicago
11481,"Panama City, FL",FL,30.15946,-85.65983,America/Chicago
10821,"Baltimore, MD",MD,39.29038,-76.61219,America/New_York
12889,"Las Vegas, NV",NV,36.17497,-115.13722,America/Los_Angeles
15304,"Tampa, FL",FL,27.94752,-82.45843,America/New_York
11638,"Fresno, CA",CA,36.74773,-119.77237,America/Los_Angeles
10792,"Buffalo, NY",NY,42.88645,-78.87837,America/New_York
10800,"Burbank, CA",CA,34.18084,-118.30897,America/Los_Angeles
10140,"Albuquerque, NM",NM,35.08449,-106.65114,America/Denver
14869,"Salt Lake City, UT",UT,40.76078,-111.89105,America/Denver
11624,"Key West, FL",FL,24.55524,-81.78163,America/New_York
10299,"Anchorage, AK",AK,61.21806,-149.90028,America/Anchorage
14057,"Portland, OR",OR,45.52345,-122.67621,America/Los_Angeles
14307,"Providence, RI",RI,41.82399,-71.41283,America/New_York
14683,"San Antonio, TX",TX,29.42412,-98.49363,America/Chicago
10994,"Charleston, SC",SC,32.77632,-79.93275,America/New_York
13891,"Ontario, CA",CA,34.06334,-117.65089,America/Los_Angeles
14679,"San Diego, CA",CA,32.71571,-117.16472,America/Los_Angeles
14685,"Savannah, GA",GA,32.08354,-81.09983,America/New_York
14893,"Sacramento, CA",CA,38.58157,-121.4944,America/Los_Angeles
15016,"St. Louis, MO",MO,38.62727,-90.19789,America/Chicago
15027,"Christiansted, VI",VI,17.74681,-64.70557,America/St_Thomas
14843,"San Juan, PR",PR,18.46633,-66.10572,America/Puerto_Rico
11697,"Fort Lauderdale, FL",FL,26.12231,-80.14338,America/New_York
13244,"Memphis, TN",TN,35.14953,-90.04898,America/Chicago
12266,"Houston, TX",TX,29.76328,-95.36327,America/Chicago
15096,"Syracuse, NY",NY,43.04812,-76.14742,America/New_York
14570,"Reno, NV",NV,39.52963,-119.8138,America/Los_Angeles
10529,"Hartford, CT",CT,41.76371,-72.68509,America/New_York
14908,"Santa Ana, CA",CA,33.74557,-117.86783,America/Los_Angeles
12441,"Jackson, WY",WY,32.29876,-90.18481,America/Chicago
13487,"Minneapolis, MN",MN,44.97997,-93.26384,America/Chicago
14730,"Louisville, KY",KY,38.25424,-85.75941,America/Kentucky/Louisville
12339,"Indianapolis, IN",IN,39.76838,-86.15804,America/Indiana/Indianapolis
15370,"Tulsa, OK",OK,36.15398,-95.99277,America/Chicago
14747,"Seattle, WA",WA,47.60621,-122.33207,America/Los_Angeles
14193,"Pensacola, FL",FL,30.42131,-87.21691,America/Chicago
11066,"Columbus, OH",OH,39.96118,-82.99879,America/New_York
10868,"Columbia, SC",SC,34.00071,-81.03481,America/New_York
11603,"Eugene, OR",OR,44.05207,-123.08675,America/Los_Angeles
11986,"Grand Rapids, MI",MI,42.96336,-85.66809,America/Detroit
15412,"Knoxville, TN",TN,35.96064,-83.92074,America/New_York
11193,"Cincinnati, OH",KY,39.12711,-84.51439,America/New_York
11423,"Des Moines, IA",IA,41.60054,-93.60911,America/Chicago
13342,"Milwaukee, WI",WI,43.0389,-87.90647,America/Chicago
10257,"Albany, NY",NY,42.65258,-73.75623,America/New_York
12264,"Washington, DC",VA,38.71345,-78.15944,America/New_York
14122,"Pittsburgh, PA",PA,40.44062,-79.99589,America/New_York
14262,"Palm Springs, CA",CA,33.8303,-116.54529,America/Los_Angeles
13230,"Harrisburg, PA",PA,40.2737,-76.88442,America/New_York
14831,"San Jose, CA",CA,37.33939,-121.89496,America/Los_Angeles
15024,"Charlotte Amalie, VI",VI,18.3419,-64.9307,America/St_Thomas
10849,"Bozeman, MT",MT,45.67965,-111.03856,America/Denver
10599,"Birmingham, AL",AL,33.52066,-86.80249,America/Chicago
13476,"Monterey, CA",CA,36.60024,-121.89468,America/Los_Angeles
13931,"Norfolk, VA",VA,36.84681,-76.28522,America/New_York
14698,"San Luis Obispo, CA",CA,35.28275,-120.65962,America/Los_Angeles
15624,"Valparaiso, FL",FL,30.51686,-86.48217,America/Chicago
15919,"Fayetteville, AR",AR,36.06258,-94.15743,America/Chicago
11884,"Spokane, WA",WA,47.65966,-117.42908,America/Los_Angeles
11996,"Greer, SC",SC,34.93873,-82.22706,America/New_York
12012,"Gunnison, CO",CO,38.54582,-106.92532,America/Denver
12094,"Hayden, CO",CO,40.49529,-107.25729,America/Denver
12982,"Lihue, HI",HI,21.98121,-159.3721,Pacific/Honolulu
11775,"Sioux Falls, SD",SD,43.54369,-96.72796,America/Chicago
14689,"Santa Barbara, CA",CA,34.42083,-119.69819,America/Los_Angeles
12323,"Wilmington, NC",NC,34.23556,-77.94604,America/New_York
13486,"Missoula, MT",MT,46.87215,-113.994,America/Denver
14321,"Portland, ME",ME,43.65737,-70.2589,America/New_York
12992,"Little Rock, AR",AR,34.74648,-92.28959,America/Chicago
12758,"Kona, HI",HI,39.84198,127.63206,Asia/Pyongyang
11630,"Fairbanks, AK",AK,64.83778,-147.71638,America/Anchorage
13796,"Oakland, CA",CA,37.80437,-122.2708,America/Los_Angeles
12523,"Juneau, AK",AK,58.30194,-134.41972,America/Juneau
10165,"Adak Island, AK",AK,51.78444,-176.64027,America/Adak
14004,"Everett, WA",WA,47.97898,-122.20208,America/Los_Angeles
11259,"Dallas, TX",TX,32.78306,-96.80667,America/Chicago
12819,"Ketchikan, AK",AK,55.3418,-131.64757,America/Sitka
14828,"Sitka, AK",AK,57.05315,-135.33089,America/Sitka
12197,"White Plains, NY",NY,41.03399,-73.76291,America/New_York
14254,"Ponce, PR",PR,23.03811,-82.37703,America/Havana
10732,"Aguadilla, PR",PR,18.42745,-67.15407,America/Puerto_Rico
13933,"Worcester, MA",MA,42.26259,-71.80229,America/New_York
12391,"Islip, NY",NY,40.72982,-73.21039,America/New_York
12191,"Houston, TX",TX,29.76328,-95.36327,America/Chicago
13232,"Chicago, IL",IL,41.85003,-87.65005,America/Chicago
13577,"Myrtle Beach, SC",SC,33.68906,-78.88669,America/New_York
12954,"Long Beach, CA",CA,33.76696,-118.18923,America/Los_Angeles
11953,"Gainesville, FL",FL,29.65163,-82.32483,America/New_York
10620,"Billings, MT",MT,45.78329,-108.50069,America/Denver
10785,"Burlington, VT",VT,44.47588,-73.21207,America/New_York
13360,"Melbourne, FL",FL,28.08363,-80.60811,America/New_York
15249,"Tallahassee, FL",FL,30.43826,-84.28073,America/New_York
11252,"Daytona Beach, FL",FL,29.21081,-81.02283,America/New_York
11648,"Kalispell, MT",MT,48.19579,-114.31291,America/Denver
12278,"Wichita, KS",KS,37.69224,-97.33754,America/Chicago
15380,"Traverse City, MI",MI,44.76306,-85.62063,America/Detroit
12280,"Idaho Falls, ID",ID,43.46658,-112.03414,America/Boise
11637,"Fargo, ND",ND,46.87719,-96.7898,America/Chicago
11977,"Green Bay, WI",WI,44.51916,-88.01983,America/Chicago
14574,"Roanoke, VA",VA,37.27097,-79.94143,America/New_York
12217,"Huntsville, AL",AL,34.7304,-86.58594,America/Chicago
15356,"Trenton, NJ",NJ,40.21705,-74.74294,America/New_York
14112,"St. Petersburg, FL",FL,27.77086,-82.67927,America/New_York
10431,"Asheville, NC",NC,35.60095,-82.55402,America/New_York
12544,"Concord, NC",NC,35.40888,-80.58158,America/New_York
14025,"Plattsburgh, NY",NY,44.69949,-73.45291,America/New_York
14108,"Peoria, IL",IL,40.69365,-89.58899,America/Chicago
14082,"Punta Gorda, FL",FL,26.92978,-82.04537,America/New_York
10581,"Bangor, ME",ME,44.79884,-68.77265,America/New_York
14761,"Sanford, FL",FL,28.80055,-81.27312,America/New_York
14696,"South Bend, IN",IN,41.68338,-86.25001,America/Indiana/Indianapolis
12917,"Columbus, OH",OH,39.96118,-82.99879,America/New_York
10408,"Appleton, WI",WI,44.26193,-88.41538,America/Chicago
14314,"Provo, UT",UT,40.23384,-111.65853,America/Denver
10466,"Phoenix, AZ",AZ,33.44838,-112.07404,America/Phoenix
14716,"Stockton, CA",CA,37.9577,-121.29078,America/Los_Angeles
12945,"Lexington, KY",KY,37.98869,-84.47772,America/New_York
14783,"Springfield, MO",MO,37.21533,-93.29824,America/Chicago
10666,"Bellingham, WA",WA,48.75955,-122.48822,America/Los_Angeles
