iata,airport_name,latitude,longitude,timezone,country_code,state_abr,airport_id
SFO,San Francisco International,37.61882,-122.3758,America/Los_Angeles,US,CA,126296
YVR,Vancouver International,49.19489,-123.17923,America/Vancouver,CA,BR,135105
SAN,San Diego International Airport,32.73235,-117.19744,America/Los_Angeles,US,CA,126110
LAX,Los Angeles International,33.94251,-118.40897,America/Los_Angeles,US,CA,116537
KIX,Kansai International,34.42731,135.24406,Asia/Tokyo,JP,OS,115464
EWR,Newark Liberty International,40.69709,-74.17557,America/New_York,US,NJ,107762
PDX,Portland International,45.58919,-122.59353,America/Los_Angeles,US,OR,122124
BOS,Logan International,42.36514,-71.01777,America/New_York,US,MA,103360
ATL,Hartsfield-jackson Atlanta International,33.64099,-84.42265,America/New_York,US,GA,102169
PHX,Sky Harbor International,33.435302,-112.005905,America/Phoenix,US,US,122272
