date_str,ORIGIN_AIRPORT_ID,dep_hour,temperature,wind_speed,precipitation,visibility
2025-01-01,12478,6,7.6,10.2,0.0,12300.0
2025-01-01,12478,17,6.3,28.8,0.0,25200.0
2025-01-01,12478,18,5.7,29.2,0.0,26000.0
2025-01-01,12478,15,7.4,27.6,0.0,23700.0
2025-01-01,12478,19,5.0,27.2,0.0,28800.0
2025-01-01,12478,14,8.6,26.3,0.0,26600.0
2025-01-01,12478,9,8.0,13.0,0.0,14900.0
2025-01-01,12478,21,4.4,25.6,0.0,32300.0
2025-01-01,12478,8,8.2,14.3,0.0,14700.0
2025-01-01,12478,7,7.7,11.5,0.0,13600.0
2025-01-01,12478,12,10.1,24.3,0.0,20700.0
2025-01-01,12478,16,7.1,28.5,0.0,24400.0
2025-01-01,12478,11,9.2,18.5,0.0,17100.0
2025-01-01,12478,10,8.3,16.5,0.0,15500.0
2025-01-01,12478,5,7.6,9.6,0.0,12200.0
2025-01-01,12478,13,9.8,24.2,0.0,23900.0
2025-01-01,12478,20,4.9,22.8,0.0,29700.0
2025-01-01,12478,22,3.9,29.8,0.0,38200.0
2025-01-01,12478,23,3.4,23.2,0.0,37200.0
2025-01-01,12892,22,10.2,5.1,0.0,21500.0
2025-01-01,12892,8,4.7,8.0,0.0,500.0
2025-01-01,12892,7,6.3,13.5,0.0,1300.0
2025-01-01,12892,10,10.6,1.6,0.0,20400.0
2025-01-01,12892,0,9.2,4.7,0.0,3100.0
2025-01-01,12892,16,19.5,8.6,0.0,36400.0
2025-01-01,12892,9,6.7,9.0,0.0,2100.0
2025-01-01,12892,12,16.0,8.6,0.0,26800.0
2025-01-01,12892,14,19.8,9.0,0.0,37100.0
2025-01-01,12892,11,14.3,9.4,0.0,26900.0
2025-01-01,12892,13,19.9,5.8,0.0,48300.0
2025-01-01,12892,17,17.6,7.3,0.0,32400.0
2025-01-01,12892,21,10.5,1.8,0.0,13200.0
2025-01-01,12892,19,13.2,2.6,0.0,18700.0
2025-01-01,12892,23,9.8,10.4,0.0,23000.0
2025-01-01,12892,6,6.9,9.2,0.0,3100.0
2025-01-01,12892,18,15.8,5.8,0.0,30300.0
2025-01-01,12892,5,7.6,7.3,0.0,3100.0
2025-01-01,12892,15,19.5,10.7,0.0,34000.0
2025-01-01,12892,20,11.8,2.9,0.0,17400.0
2025-01-01,13485,6,-1.8,16.3,0.0,21800.0
2025-01-01,13485,11,-2.6,17.7,0.0,22500.0
2025-01-01,13485,16,-3.7,18.5,0.0,21700.0
2025-01-01,13485,7,-2.4,13.4,0.0,22000.0
2025-01-01,13485,13,-3.0,20.5,0.0,21900.0
2025-01-01,13485,17,-4.4,15.9,0.0,23200.0
2025-01-01,13485,10,-2.8,17.3,0.0,21500.0
2025-01-01,13485,15,-3.3,18.8,0.0,22400.0
2025-01-01,13485,12,-2.6,20.2,0.0,22200.0
2025-01-01,13485,8,-3.2,13.1,0.0,19300.0
2025-01-01,13485,14,-3.2,19.8,0.0,20900.0
2025-01-01,14100,18,8.1,29.9,0.0,42200.0
2025-01-01,14100,21,5.7,20.5,0.0,36200.0
2025-01-01,14100,10,7.7,14.8,0.0,19800.0
2025-01-01,14100,20,6.3,25.4,0.0,42100.0
2025-01-01,14100,8,7.2,9.7,0.0,13800.0
2025-01-01,14100,13,8.4,28.9,0.0,29300.0
2025-01-01,14100,16,9.1,28.6,0.0,39400.0
2025-01-01,14100,6,8.0,6.9,0.0,2600.0
2025-01-01,14100,11,8.2,21.8,0.0,23700.0
2025-01-01,14100,14,8.7,27.5,0.0,33200.0
2025-01-01,14100,15,9.4,28.5,0.0,37100.0
2025-01-01,14100,9,7.8,15.3,0.0,16700.0
2025-01-01,14100,12,8.4,25.3,0.0,27900.0
2025-01-01,14100,7,7.6,7.2,0.0,12900.0
2025-01-01,14100,5,8.1,7.7,0.0,2600.0
2025-01-01,14100,17,8.8,29.6,0.0,43000.0
2025-01-01,14100,19,6.7,27.2,0.0,39100.0
2025-01-01,14100,22,5.2,18.4,0.0,34000.0
2025-01-01,13930,8,-0.7,19.8,0.0,22500.0
2025-01-01,13930,20,-2.4,18.4,0.0,23700.0
2025-01-01,13930,11,-1.3,19.1,0.0,17100.0
2025-01-01,13930,14,-0.9,20.5,0.0,24100.0
2025-01-01,13930,12,-0.5,19.5,0.0,24100.0
2025-01-01,13930,21,-2.0,13.0,0.0,22900.0
2025-01-01,13930,18,-1.8,19.8,0.0,25200.0
2025-01-01,13930,15,-1.2,20.5,0.0,24800.0
2025-01-01,13930,6,-0.7,18.9,0.0,21100.0
2025-01-01,13930,9,-1.0,20.8,0.0,25800.0
2025-01-01,13930,17,-1.5,21.9,0.0,25300.0
2025-01-01,13930,16,-1.2,19.5,0.0,24600.0
2025-01-01,13930,13,-0.9,22.1,0.0,24000.0
2025-01-01,13930,10,-1.3,21.7,0.0,22900.0
2025-01-01,13930,7,-0.6,17.3,0.0,21400.0
2025-01-01,13930,5,-0.8,20.4,0.0,19000.0
2025-01-01,13930,19,-2.2,19.5,0.0,24500.0
2025-01-01,13930,22,-1.5,21.6,0.0,26000.0
2025-01-01,11109,16,1.7,14.0,0.0,30700.0
2025-01-01,11109,10,-5.3,1.1,0.0,12800.0
2025-01-01,11109,5,-6.9,14.0,0.0,12900.0
2025-01-01,11109,13,-2.5,5.8,0.0,16900.0
2025-01-01,11109,8,-6.5,5.8,0.0,13800.0
2025-01-01,11109,15,0.1,8.7,0.0,21900.0
2025-01-01,11109,17,0.7,10.6,0.0,30500.0
2025-01-01,11109,18,-1.4,6.6,0.0,30300.0
2025-01-01,11109,12,-4.1,5.0,0.0,12200.0
2025-01-01,11109,6,-7.5,7.9,0.0,12200.0
2025-01-01,11109,7,-7.7,6.4,0.0,12200.0
2025-01-01,11109,9,-6.5,2.0,0.0,13700.0
2025-01-01,11109,11,-5.3,3.3,0.0,12200.0
2025-01-01,11109,14,-1.5,11.2,0.0,19100.0
2025-01-01,11298,15,9.3,10.2,0.0,30800.0
2025-01-01,11298,20,7.0,2.6,0.0,30700.0
2025-01-01,11298,14,8.7,9.3,0.0,27200.0
2025-01-01,11298,17,10.0,7.3,0.0,30800.0
2025-01-01,11298,9,3.6,7.6,0.0,15400.0
2025-01-01,11298,16,10.0,8.2,0.0,31200.0
2025-01-01,11298,21,6.5,2.9,0.0,26900.0
2025-01-01,11298,18,9.4,6.3,0.0,34600.0
2025-01-01,11298,12,6.7,13.9,0.0,23000.0
2025-01-01,11298,19,7.8,6.5,0.0,30400.0
2025-01-01,11298,7,3.7,6.1,0.0,16400.0
2025-01-01,11298,13,7.8,11.2,0.0,26800.0
2025-01-01,11298,22,6.1,2.7,0.0,30900.0
2025-01-01,11298,8,3.5,5.5,0.0,15900.0
2025-01-01,11298,11,5.9,11.4,0.0,20500.0
2025-01-01,11298,10,4.9,10.8,0.0,16600.0
2025-01-01,11298,5,4.3,8.2,0.0,16500.0
2025-01-01,11298,6,4.0,8.0,0.0,15700.0
2025-01-01,11298,23,5.3,2.2,0.0,30000.0
2025-01-01,11057,20,7.8,12.0,0.0,45100.0
2025-01-01,11057,21,6.5,5.1,0.0,41500.0
2025-01-01,11057,16,12.4,11.0,0.0,48100.0
2025-01-01,11057,13,11.4,15.3,0.0,44600.0
2025-01-01,11057,14,12.2,15.6,0.0,45900.0
2025-01-01,11057,22,5.5,3.8,0.0,41600.0
2025-01-01,11057,18,10.5,11.0,0.0,51000.0
2025-01-01,11057,9,4.3,6.0,0.0,25300.0
2025-01-01,11057,11,8.7,11.3,0.0,34900.0
2025-01-01,11057,19,8.9,6.3,0.0,47600.0
2025-01-01,11057,8,4.5,6.6,0.0,27500.0
2025-01-01,11057,12,10.3,19.1,0.0,42200.0
2025-01-01,11057,10,6.7,7.8,0.0,27700.0
2025-01-01,11057,15,12.4,14.3,0.0,46500.0
2025-01-01,11057,17,11.9,13.1,0.0,52500.0
2025-01-01,11057,7,5.1,7.0,0.0,28700.0
2025-01-01,11057,23,4.7,7.3,0.0,36300.0
2025-01-01,11057,5,6.9,14.6,0.0,37400.0
2025-01-01,11057,6,5.9,8.8,0.0,32100.0
2025-01-01,12953,19,5.0,27.2,0.0,28800.0
2025-01-01,12953,9,8.0,13.0,0.0,14900.0
2025-01-01,12953,5,7.6,9.6,0.0,12200.0
2025-01-01,12953,7,7.7,11.5,0.0,13600.0
2025-01-01,12953,6,7.6,10.2,0.0,12300.0
2025-01-01,12953,17,6.3,28.8,0.0,25200.0
2025-01-01,12953,20,4.9,22.8,0.0,29700.0
2025-01-01,12953,11,9.2,18.5,0.0,17100.0
2025-01-01,12953,10,8.3,16.5,0.0,15500.0
2025-01-01,12953,8,8.2,14.3,0.0,14700.0
2025-01-01,12953,16,7.1,28.5,0.0,24400.0
2025-01-01,12953,14,8.6,26.3,0.0,26600.0
2025-01-01,12953,12,10.1,24.3,0.0,20700.0
2025-01-01,12953,18,5.7,29.2,0.0,26000.0
2025-01-01,12953,13,9.8,24.2,0.0,23900.0
2025-01-01,12953,15,7.4,27.6,0.0,23700.0
2025-01-01,12953,21,4.4,25.6,0.0,32300.0
2025-01-01,12953,22,3.9,29.8,0.0,38200.0
2025-01-01,11503,11,-9.9,7.3,0.0,15800.0
2025-01-01,11503,8,-15.4,4.7,0.0,12200.0
2025-01-01,11503,12,-7.7,4.0,0.0,20600.0
2025-01-01,11503,10,-12.3,3.4,0.0,14400.0
2025-01-01,11503,14,-5.7,6.7,0.0,22500.0
2025-01-01,11503,18,-3.7,8.4,0.0,43100.0
2025-01-01,11503,17,-3.8,4.1,0.0,34800.0
2025-01-01,11503,15,-4.2,5.1,0.0,26400.0
2025-01-01,11503,13,-6.5,2.2,0.0,20000.0
2025-01-01,11503,7,-14.6,4.1,0.0,12200.0
2025-01-01,13303,12,23.9,9.2,0.0,17700.0
2025-01-01,13303,19,23.4,3.3,0.0,28200.0
2025-01-01,13303,17,26.7,9.2,0.0,36700.0
2025-01-01,13303,8,20.1,6.8,0.0,12600.0
2025-01-01,13303,21,19.6,2.9,0.0,17800.0
2025-01-01,13303,20,21.7,1.6,0.0,31600.0
2025-01-01,13303,7,20.8,9.0,0.0,12700.0
2025-01-01,13303,18,25.0,9.1,0.0,29500.0
2025-01-01,13303,5,20.4,4.6,0.0,12600.0
2025-01-01,13303,11,22.8,9.8,0.0,16100.0
2025-01-01,13303,9,20.4,6.2,0.0,13500.0
2025-01-01,13303,16,26.9,9.7,0.0,33300.0
2025-01-01,13303,13,24.7,10.3,0.0,21200.0
2025-01-01,13303,15,26.6,9.5,0.0,31000.0
2025-01-01,13303,22,19.3,6.8,0.0,21200.0
2025-01-01,13303,6,20.8,4.7,0.0,12800.0
2025-01-01,13303,23,18.9,6.2,0.0,27400.0
2025-01-01,13303,10,21.6,8.0,0.0,14600.0
2025-01-01,13303,14,25.5,8.7,0.0,23300.0
2025-01-01,14107,7,6.4,6.4,0.0,37400.0
2025-01-01,14107,5,6.7,5.0,0.0,41100.0
2025-01-01,14107,9,9.4,2.3,0.0,41600.0
2025-01-01,14107,10,12.8,1.8,0.0,51200.0
2025-01-01,14107,8,6.7,6.0,0.0,37600.0
2025-01-01,14107,16,21.5,2.0,0.0,79800.0
2025-01-01,14107,11,15.8,4.2,0.0,62600.0
2025-01-01,14107,17,20.5,1.9,0.0,81100.0
2025-01-01,14107,22,12.1,4.3,0.0,59800.0
2025-01-01,14107,13,19.6,1.5,0.0,66000.0
2025-01-01,14107,14,20.8,2.9,0.0,72300.0
2025-01-01,14107,18,17.9,4.1,0.0,80800.0
2025-01-01,14107,23,12.0,3.3,0.0,63900.0
2025-01-01,14107,21,13.0,4.8,0.0,61400.0
2025-01-01,14107,15,21.9,0.4,0.0,77200.0
2025-01-01,14107,12,17.8,2.5,0.0,63600.0
2025-01-01,14107,0,10.6,8.7,0.0,51600.0
2025-01-01,14107,6,6.6,7.6,0.0,43300.0
2025-01-01,14107,20,14.5,7.7,0.0,69500.0
2025-01-01,14107,19,16.3,7.3,0.0,83000.0
2025-01-01,12173,18,23.1,15.0,0.0,24140.0
2025-01-01,12173,19,22.7,14.4,0.0,24140.0
2025-01-01,12173,23,22.7,15.2,0.0,24140.0
