iata,icao,latitude,longitude,name,iso_country
UTK,03N,11.222219,169.851429,Utirik Airport,MH
OCA,07FA,25.325399,-80.274803,Ocean Reef Club Airport,US
CSE,0CO2,38.851918,-106.928341,Crested Butte Airpark,US
CUS,0NM0,31.823898,-107.629924,Columbus Airport,US
JCY,0TE7,30.251801,-98.622498,LBJ Ranch Airport,US
WLR,13Z,55.601299,-131.636993,Loring Seaplane Base,US
NUP,16A,60.905591,-162.440454,Nunapitchuk Airport,US
PTC,16K,55.803,-133.597,Port Alice Seaplane Base,US
ICY,19AK,59.966269,-141.660118,Icy Bay Airport,US
PPV,19P,56.3288,-133.610001,Port Protection Seaplane Base,US
KKK,1KC,64.4166256967,-156.820392609,Kalakaket Creek AS Airport,US
MHS,1O6,41.263199,-122.272003,Dunsmuir Muni-Mott Airport,US
NIR,1XA2,28.362444,-97.661917,Chase Field Industrial Airport,US
GCT,1Z1,36.257984,-113.231063,Grand Canyon Bar Ten Airstrip,US
ELW,1Z9,60.893818,-146.704038,Ellamar Seaplane Base,US
LVD,2AK,61.3591003418,-155.440002441,Lime Village Airport,US
HGZ,2AK6,66.176133,-155.684816,Hog River Airport,US
OTN,2IG4,38.851782,-87.49987,Ed-Air Airport,US
TLF,2K5,63.393902,-153.268997,Telida Airport,US
BZT,2TE0,28.982200622559,-95.579696655273,Eagle Air Park,US
HBH,2Z1,57.412201,-133.43848,Entrance Island Seaplane Base,US
FAK,2Z6,57.5321998596,-135.212997437,False Island Seaplane Base,US
BYW,38WA,48.579162,-122.823844,Blakely Island Airport,US
DRF,3AK5,60.588901519800004,-152.162002563,Drift River Airport,US
BDF,3IS8,41.230899810800004,-89.61569976810001,Rinkenberger Restricted Landing Area,US
TEH,3T4,63.124618,-142.518005,Tetlin Airport,US
VRS,3VS,38.427799224854,-92.875198364258,Roy Otten Memorial Airfield,US
GDH,3Z8,59.7470016479,-158.875,Golden Horn Lodge Seaplane Base,US
ATT,4A2,60.866699,-162.272996,Atmautluak Airport,US
LIV,4AK,65.467,-148.6534,Livengood Camp Airport,US
PDB,4K0,59.796925,-154.129994,Pedro Bay Airport,US
KOZ,4K5,57.942094,-152.464314,Ouzinkie Airport,US
TNK,4KA,60.569638,-165.246649,Tununak Airport,US
WHD,4Z7,55.903324,-130.009975,Hyder Seaplane Base,US
MNT,51Z,65.147991,-149.368658,Minto Al Wright Airport,US
TKI,57A,55.937099,-133.326996,Tokeen Seaplane Base,US
WKK,5A8,59.2826004028,-158.617996216,Aleknagik / New Airport,US
WFB,5KE,55.349899,-131.677002,Ketchikan Harbor Seaplane Base,US
RFK,5MS1,32.953543,-90.845144,Rollang Field,US
NNK,5NK,58.735633,-157.02216,Naknek Airport,US
BKF,5Z9,58.554798,-155.776993,Lake Brooks Seaplane Base,US
BCS,65LA,29.866078,-90.021608,Southern Seaplane Airport,US
MMN,6B6,42.460298,-71.519031,Minute Man Air Field,US
SPQ,6CA3,33.7491989136,-118.275001526,Catalina Air-Sea Terminal Heliport,US
TSS,6N5,40.742372,-73.972074,East 34th Street Heliport,US
NYS,6N7,40.735061,-73.972814,New York Skyports Inc Seaplane Base,US
WYB,78K,55.916302,-131.800995,Yes Bay Lodge Seaplane Base,US
CWS,78WA,48.490046,-122.831612,Center Island Airport,US
TEK,7KA,60.871449,-146.690297,Tatitlek Airport,US
DUF,7NC2,36.252744,-75.785256,Pine Island Airport,US
SSW,7WA5,48.673379,-123.175439,Stuart Island Airpark,US
FOB,82CL,39.472445,-123.795319,Fort Bragg Airport,US
PUL,83Q,47.734001159668,-122.64700317383,Port of Poulsbo Marina Moorage Seaplane Base,US
CCD,84CL,34.061015,-118.417344,Century City Heliport,US
WMK,84K,55.739601,-132.255005,Meyers Chuck Seaplane Base,US
AXB,89NY,44.312002,-75.90034,Maxson Airfield,US
